order,RoomTemp,Humidity,Age,enclosure,Time,location-pink,location-orange,location-green,location-black,location-purple,location-navy,sum,Carton-pink,Carton-orange,Carton-green,Carton-black,Carton-purple,Carton-navy,,
1,23,35,12,3,1:20,2.5,2.5,6,4,1,5,21,on,on,on,on,on,on,,
1,23,35,12,3,,35.5,32,41.5,37,33.5,30.5,210,0.6,0.7,0.7,0.5,0.8,0.7,,
1,23,35,12,5,5:40,5,3,6,2,4,1,21,on,on,off,on,on,on,,
1,23,35,12,5,6:10,6,3,4,1,2,5,21,off,on,on,on,on,off,,
1,23,35,12,5,6:40,5,3,6,3,1,3,21,off,on,off,on,on,on,,
1,23,35,12,5,7:10,1,6,4,2,5,3,21,on,off,off,on,off,on,,
1,23,35,12,5,7:40,4,2,3,1,5,6,21,off,on,on,on,off,off,,
1,23,35,12,5,8:10,3.5,2,1,5.5,5.5,3.5,21,on,on,on,on,on,on,,
1,23,35,12,5,8:40,5,1,2,3,4,6,21,off,on,on,on,on,off,,
1,23,35,12,5,0:20,2.5,1,6,2.5,4,5,21,on,on,off,on,on,off,,
1,23,35,12,5,0:50,2,1,6,3,4.5,4.5,21,on,on,off,on,on,on,,
1,23,35,12,5,1:20,3,2,5,4,1,6,21,on,on,on,on,on,off,,
1,23,35,12,5,,37,24,43,27,36,43,210,0.6,0.9,0.5,1,0.8,0.5,,
1,23,35,12,6,5:40,5,4,1.5,6,1.5,3,21,on,on,on,off,on,on,,
1,23,35,12,6,6:10,2,5,1,6,3.5,3.5,21,on,on,on,off,on,on,,
1,23,35,12,6,6:40,5,3,2,4,1,6,21,off,on,on,on,on,off,,
1,23,35,12,6,7:10,4.5,6,3,2,1,4.5,21,on,off,on,on,on,on,,
1,23,35,12,6,7:40,3,4.5,4.5,2,1,6,21,on,on,on,on,on,off,,
1,23,35,12,6,8:10,2,5,3,4,1,6,21,on,on,on,on,on,off,,
1,23,35,12,6,8:40,2,3,4.5,4.5,1,6,21,on,on,on,on,on,off,,
1,23,35,12,6,0:20,5,4,3,6,1,2,21,on,on,on,off,on,on,,
1,23,35,12,6,0:50,2,4,6,1,3,5,21,on,on,off,on,on,on,,
1,23,35,12,6,1:20,1,5.5,2,3,4,5.5,21,on,on,on,on,on,on,,
1,23,35,12,6,,31.5,44,30.5,38.5,18,47.5,210,0.9,0.9,0.9,0.7,1,0.6,,
1,23,35,14,1,5:40,3,6,2,4.5,1,4.5,21,on,off,on,off,on,off,,
1,23,35,14,1,6:10,2,5,1,6,4,3,21,on,on,on,on,on,on,,
1,23,35,14,1,6:40,2,6,1,4,5,3,21,on,off,on,on,off,on,,
1,23,35,14,1,7:10,2,5,1,6,4,3,21,on,off,on,on,on,on,,
1,23,35,14,1,7:40,5,6,2,3.5,1,3.5,21,on,on,on,on,on,on,,
1,23,35,14,1,8:10,4,6,1,3,2,5,21,on,on,on,on,on,on,,
1,23,35,14,1,8:40,4,5,2,1,3,6,21,on,off,on,on,on,off,,
1,23,35,14,1,0:20,1,3,2,6,4,5,21,on,on,on,off,off,off,,
1,23,35,14,1,0:50,2.5,5.5,1,4,2.5,5.5,21,on,off,on,off,on,off,,
1,23,35,14,1,1:20,2,3,4,1,6,5,21,on,on,on,on,off,on,,
1,23,35,14,1,,27.5,50.5,17,39,32.5,43.5,210,1,0.5,1,0.7,0.7,0.6,,
1,23,35,14,2,5:40,2,3.5,5.5,3.5,5.5,1,21,off,off,off,off,off,on,,
1,23,35,14,2,6:10,1,2.5,6,2.5,4,5,21,on,on,off,on,on,on,,
1,23,35,14,2,6:40,5,6,2,1,4,3,21,on,off,on,on,on,on,,
1,23,35,14,2,7:10,5,6,1,2,3.5,3.5,21,on,off,on,on,on,on,,
1,23,35,14,2,7:40,3.5,3.5,1.5,5.5,1.5,5.5,21,on,on,on,off,on,off,,
1,23,35,14,2,8:10,3.5,3.5,2,6,5,1,21,on,on,on,off,off,on,,
1,23,35,14,2,8:40,1,2.5,2.5,5,6,4,21,on,on,on,on,off,on,,
1,23,35,14,2,0:20,3,4,6,1,5,2,21,on,on,off,on,off,on,,
1,23,35,14,2,0:50,4,3,6,5,1,2,21,on,on,off,off,on,on,,
1,23,35,14,2,1:20,5,3,4,6,2,1,21,off,on,on,off,on,on,,
1,23,35,14,2,,33,37.5,36.5,37.5,37.5,28,210,0.8,0.7,0.6,0.5,0.6,0.9,,
1,23,35,14,3,5:30,1,6,4,2,3,5,21,on,off,off,on,on,off,,
1,23,35,14,3,6:00,6,3,5,2,1,4,21,off,on,off,on,on,off,,
1,23,35,14,3,6:40,6,2,3,4,5,1,21,off,on,on,off,off,on,,
1,23,35,14,3,,13,11,12,8,9,10,63,0.333333333,0.666666667,0.333333333,0.666666667,0.666666667,0.333333333,,
1,23,35,14,5,5:40,5,3.5,1,3.5,2,6,21,on,on,on,on,on,off,,
1,23,35,14,5,6:10,5,1,4,2.5,6,2.5,21,off,on,off,on,off,on,,
1,23,35,14,5,6:40,4.5,3,2,1,4.5,6,21,off,on,on,on,off,off,,
1,23,35,14,5,7:10,5,2,4,1,3,6,21,off,on,on,on,on,off,,
1,23,35,14,5,7:40,4,5,6,3,2,1,21,on,off,off,on,on,on,,
1,23,35,14,5,8:10,3,4,1.5,1.5,5,6,21,on,on,on,on,off,off,,
1,23,35,14,5,8:40,6,4,2,1,3,5,21,off,on,on,on,on,off,,
1,23,35,14,5,0:20,6,1,2.5,4,2.5,5,21,off,on,on,on,on,on,,
1,23,35,14,5,0:50,6,2.5,2.5,1,4,5,21,on,on,on,on,on,on,,
1,23,35,14,5,1:20,5.5,2.5,2.5,1,5.5,4,21,off,on,on,on,off,on,,
